latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
25.53974,96.71659,330.07,0.48,0.4,2026-09-21,637,N,VIIRS,n,2.0NRT,296.97,2.43,D
36.31959,94.79975,333.54,0.42,0.38,2026-09-21,642,N,VIIRS,l,2.0NRT,308.02,2.02,D
36.32042,94.80437,340.17,0.42,0.38,2026-09-21,642,N,VIIRS,n,2.0NRT,308.87,2.02,D
36.32299,94.79882,346.1,0.42,0.38,2026-09-21,642,N,VIIRS,n,2.0NRT,308.36,2.02,D
36.32382,94.80344,344.58,0.42,0.38,2026-09-21,642,N,VIIRS,n,2.0NRT,307.78,2.02,D
36.32722,94.8025,348.29,0.42,0.38,2026-09-21,642,N,VIIRS,n,2.0NRT,307.9,5.86,D
36.33063,94.80157,353.7,0.42,0.38,2026-09-21,642,N,VIIRS,n,2.0NRT,308.13,5.86,D
36.33146,94.80618,333.73,0.42,0.38,2026-09-21,642,N,VIIRS,l,2.0NRT,307.8,4.22,D
36.37901,95.15118,357.12,0.41,0.37,2026-09-21,642,N,VIIRS,l,2.0NRT,312.92,5.02,D
36.37979,95.15571,357.06,0.41,0.37,2026-09-21,642,N,VIIRS,l,2.0NRT,313.11,5.38,D
36.38058,95.16024,341.5,0.41,0.37,2026-09-21,642,N,VIIRS,n,2.0NRT,311.47,5.38,D
36.38133,95.14701,338.54,0.41,0.37,2026-09-21,642,N,VIIRS,l,2.0NRT,310.32,1.57,D
36.38213,95.15154,343.11,0.41,0.37,2026-09-21,642,N,VIIRS,n,2.0NRT,310.93,1.57,D
36.38238,95.15027,350.19,0.41,0.37,2026-09-21,642,N,VIIRS,n,2.0NRT,310.66,5.02,D
7.12867,81.0751,333.5,0.4,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,299.99,3.41,D
8.29176,80.75997,335.65,0.4,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,295.27,4.66,D
8.35397,81.29202,337.72,0.41,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,297.77,4.13,D
8.3574,81.2915,352.94,0.41,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,298.48,6.45,D
8.35796,81.29525,340.53,0.41,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,297.06,5.82,D
8.36083,81.29099,345.37,0.41,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,298.02,6.45,D
8.69229,80.4555,343.38,0.39,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,298.85,5.0,D
8.69283,80.45908,349.11,0.39,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,300.68,10.67,D
8.69565,80.45499,335.61,0.39,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,297.69,5.0,D
8.69619,80.45857,335.22,0.39,0.37,2026-09-21,813,N,VIIRS,n,2.0NRT,297.62,10.67,D
8.87128,78.08917,341.62,0.39,0.36,2026-09-21,813,N,VIIRS,n,2.0NRT,304.37,4.56,D
9.0166,78.13821,342.87,0.39,0.36,2026-09-21,813,N,VIIRS,n,2.0NRT,299.3,2.61,D
11.23936,77.23362,330.61,0.4,0.37,2026-09-21,816,N,VIIRS,l,2.0NRT,296.96,3.22,D
11.24016,77.23308,332.45,0.4,0.37,2026-09-21,816,N,VIIRS,l,2.0NRT,297.23,3.71,D
12.82642,79.54056,333.16,0.4,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,296.41,2.42,D
13.27823,80.29333,333.09,0.42,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,278.2,3.27,D
13.67215,79.5278,332.93,0.4,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,282.22,3.81,D
15.73247,79.65581,335.25,0.41,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,297.09,3.82,D
15.83993,79.7503,330.64,0.42,0.38,2026-09-21,816,N,VIIRS,n,2.0NRT,293.68,3.34,D
15.84448,79.75757,351.76,0.42,0.38,2026-09-21,816,N,VIIRS,n,2.0NRT,296.4,12.39,D
15.84917,79.74093,335.12,0.42,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,293.34,7.9,D
15.84972,79.74483,349.19,0.42,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,294.28,7.9,D
16.16523,79.92226,335.46,0.43,0.38,2026-09-21,816,N,VIIRS,n,2.0NRT,294.81,1.41,D
16.1658,79.92622,333.28,0.43,0.38,2026-09-21,816,N,VIIRS,n,2.0NRT,296.11,3.85,D
16.33395,78.26297,330.91,0.39,0.36,2026-09-21,816,N,VIIRS,n,2.0NRT,288.8,2.78,D
16.61245,79.49863,330.5,0.42,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,298.04,2.67,D
16.82013,78.19477,334.81,0.39,0.36,2026-09-21,816,N,VIIRS,n,2.0NRT,294.94,2.45,D
17.03526,77.73318,331.72,0.39,0.36,2026-09-21,816,N,VIIRS,n,2.0NRT,295.63,0.81,D
17.09404,80.59815,333.58,0.46,0.39,2026-09-21,816,N,VIIRS,n,2.0NRT,294.65,4.02,D
19.37039,71.3538,339.92,0.4,0.44,2026-09-21,818,N,VIIRS,n,2.0NRT,294.76,3.21,D
21.05754,75.62813,338.9,0.39,0.36,2026-09-21,818,N,VIIRS,n,2.0NRT,302.75,3.12,D
21.10358,72.63866,334.97,0.48,0.4,2026-09-21,818,N,VIIRS,n,2.0NRT,294.29,37.18,D
21.10517,72.64781,336.96,0.48,0.4,2026-09-21,818,N,VIIRS,n,2.0NRT,296.25,9.79,D
22.69435,75.37374,331.25,0.39,0.36,2026-09-21,818,N,VIIRS,l,2.0NRT,303.36,2.56,D
22.7711,75.34428,330.64,0.39,0.36,2026-09-21,818,N,VIIRS,l,2.0NRT,302.01,1.18,D
22.88176,75.44677,330.89,0.39,0.36,2026-09-21,818,N,VIIRS,l,2.0NRT,302.03,3.81,D
22.94285,75.73074,338.94,0.38,0.36,2026-09-21,818,N,VIIRS,n,2.0NRT,302.75,3.8,D
22.94425,75.89148,330.11,0.38,0.36,2026-09-21,818,N,VIIRS,l,2.0NRT,302.73,2.13,D
23.23625,75.98862,330.03,0.38,0.36,2026-09-21,818,N,VIIRS,l,2.0NRT,303.16,2.2,D
23.12208,70.08372,337.2,0.41,0.45,2026-09-21,820,N,VIIRS,n,2.0NRT,298.98,3.83,D
24.81587,68.04147,332.85,0.5,0.49,2026-09-21,820,N,VIIRS,l,2.0NRT,304.03,2.5,D
24.81766,68.04298,334.47,0.5,0.49,2026-09-21,820,N,VIIRS,l,2.0NRT,304.89,3.71,D
25.38862,68.58082,331.81,0.45,0.47,2026-09-21,820,N,VIIRS,l,2.0NRT,303.48,2.11,D
25.55967,68.45715,331.36,0.46,0.47,2026-09-21,820,N,VIIRS,n,2.0NRT,303.16,1.43,D
25.56394,68.45611,334.3,0.46,0.47,2026-09-21,820,N,VIIRS,n,2.0NRT,301.07,2.45,D
25.69573,68.84558,340.41,0.43,0.46,2026-09-21,820,N,VIIRS,n,2.0NRT,305.26,2.5,D
