LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,geometry,BACKGROUND_TEMP,TEMP_DIFF,ML_FIRE_CLASS,LAT_GRID,LON_GRID,PERSISTENCE_DAYS,IS_PERSISTENT,FRP_LOG,IS_NIGHT,CONFIDENCE_NUM,FIRE_CLASS,PERSISTENCE_LEVEL
23.6486,85.44053,339.62,0.41,0.45,2026-07-01,0714,SNPP,SNPP,n,2.0NRT,291.98,7.47,D,POINT (85.44053 23.6486),291.98,47.639999999999986,Forest / Wildlife Fire,23.65,85.44,16,1,2.136530508663963,0,1,Forest / Wildlife Fire,Very High
25.398,84.50601,331.43,0.43,0.46,2026-07-01,0714,SNPP,SNPP,n,2.0NRT,294.12,1.49,D,POINT (84.50601 25.398),294.12,37.31,Agricultural Fire,25.4,84.51,1,0,0.9122827104766162,0,1,Agricultural Fire,Low
8.74252,78.16695,347.39,0.34,0.56,2026-07-01,0850,SNPP,SNPP,n,2.0NRT,289.56,3.78,D,POINT (78.16695 8.74252),289.56,57.829999999999984,Agricultural Fire,8.74,78.17,1,0,1.5644405465033644,0,1,Agricultural Fire,Low
8.74769,78.16627,330.81,0.34,0.56,2026-07-01,0850,SNPP,SNPP,n,2.0NRT,294.08,3.78,D,POINT (78.16627 8.74769),294.08,36.73000000000002,Agricultural Fire,8.75,78.17,1,0,1.5644405465033644,0,1,Agricultural Fire,Low
8.89629,77.95658,340.74,0.33,0.55,2026-07-01,0850,SNPP,SNPP,n,2.0NRT,296.34,2.21,D,POINT (77.95658 8.89629),296.34,44.400000000000034,Agricultural Fire,8.9,77.96,1,0,1.1662709371419244,0,1,Agricultural Fire,Low
8.74728,78.16316,333.22,0.34,0.56,2026-07-01,0850,SNPP,SNPP,n,2.0NRT,293.83,5.31,D,POINT (78.16316 8.74728),293.83,39.39000000000004,Agricultural Fire,8.75,78.16,2,0,1.8421356765531218,0,1,Agricultural Fire,Medium
9.55491,78.18633,353.07,0.35,0.57,2026-07-01,0852,SNPP,SNPP,n,2.0NRT,293.54,2.95,D,POINT (78.18633 9.55491),293.54,59.52999999999997,Agricultural Fire,9.55,78.19,1,0,1.3737155789130306,0,1,Agricultural Fire,Low
10.46489,79.32489,336.6,0.43,0.62,2026-07-01,0852,SNPP,SNPP,n,2.0NRT,287.41,4.18,D,POINT (79.32489 10.46489),287.41,49.19,Agricultural Fire,10.46,79.32,1,0,1.6448050562713916,0,1,Agricultural Fire,Low
22.13597,69.07013,335.39,0.43,0.38,2026-07-01,0854,SNPP,SNPP,n,2.0NRT,301.71,2.47,D,POINT (69.07013 22.13597),301.71,33.68000000000001,Agricultural Fire,22.14,69.07,1,0,1.244154593958768,0,1,Agricultural Fire,Low
23.73032,68.61646,345.18,0.43,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,303.48,3.8,D,POINT (68.61646 23.73032),303.48,41.69999999999999,Agricultural Fire,23.73,68.62,1,0,1.5686159179138452,0,1,Agricultural Fire,Low
23.73382,68.61591,346.41,0.43,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,303.05,8.61,D,POINT (68.61591 23.73382),303.05,43.360000000000014,Agricultural Fire,23.73,68.62,1,0,2.262804222982201,0,1,Agricultural Fire,Low
24.97167,71.66138,340.61,0.42,0.45,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,301.97,8.4,D,POINT (71.66138 24.97167),301.97,38.639999999999986,Agricultural Fire,24.97,71.66,1,0,2.2407096892759584,0,1,Agricultural Fire,Low
24.97201,71.66158,343.59,0.42,0.45,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,301.83,7.69,D,POINT (71.66158 24.97201),301.83,41.75999999999999,Agricultural Fire,24.97,71.66,1,0,2.162172939277301,0,1,Agricultural Fire,Low
25.876,70.34052,349.77,0.54,0.42,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,306.44,21.07,D,POINT (70.34052 25.876),306.44,43.329999999999984,Agricultural Fire,25.88,70.34,1,0,3.094219220268645,0,1,Agricultural Fire,Low
27.36385,70.91635,344.49,0.41,0.45,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,305.8,6.97,D,POINT (70.91635 27.36385),305.8,38.69,Agricultural Fire,27.36,70.92,1,0,2.075684492802124,0,1,Agricultural Fire,Low
22.95091,69.15157,338.02,0.45,0.39,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,301.54,3.5,D,POINT (69.15157 22.95091),301.54,36.47999999999996,Agricultural Fire,22.95,69.15,1,0,1.5040773967762742,0,1,Agricultural Fire,Low
22.49221,70.1522,335.94,0.49,0.4,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,292.1,2.39,D,POINT (70.1522 22.49221),292.1,43.839999999999975,Agricultural Fire,22.49,70.15,1,0,1.220829921392359,0,1,Agricultural Fire,Low
22.83697,70.82211,332.04,0.53,0.42,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,296.72,2.64,D,POINT (70.82211 22.83697),296.72,35.31999999999999,Agricultural Fire,22.84,70.82,1,0,1.2919836816486494,0,1,Agricultural Fire,Low
22.92793,70.10899,339.08,0.49,0.4,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,304.31,11.16,D,POINT (70.10899 22.92793),304.31,34.76999999999998,Forest / Wildlife Fire,22.93,70.11,13,1,2.498151876538021,0,1,Forest / Wildlife Fire,Very High
23.19923,68.96429,343.14,0.44,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,297.46,4.27,D,POINT (68.96429 23.19923),297.46,45.68000000000001,Agricultural Fire,23.2,68.96,1,0,1.6620303625532709,0,1,Agricultural Fire,Low
23.43797,69.52726,339.53,0.47,0.39,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,298.87,6.28,D,POINT (69.52726 23.43797),298.87,40.65999999999997,Agricultural Fire,23.44,69.53,1,0,1.9851308622085946,0,1,Agricultural Fire,Low
23.65079,68.55879,349.93,0.43,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,304.16,12.8,D,POINT (68.55879 23.65079),304.16,45.76999999999998,Agricultural Fire,23.65,68.56,2,0,2.624668592163159,0,1,Agricultural Fire,Medium
23.65429,68.55824,344.03,0.43,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,302.21,7.02,D,POINT (68.55824 23.65429),302.21,41.81999999999999,Agricultural Fire,23.65,68.56,2,0,2.081938421878423,0,1,Agricultural Fire,Medium
23.73061,68.61935,340.1,0.43,0.38,2026-07-01,0856,SNPP,SNPP,n,2.0NRT,303.33,2.94,D,POINT (68.61935 23.73061),303.33,36.77000000000004,Agricultural Fire,23.73,68.62,1,0,1.3711807233098425,0,1,Agricultural Fire,Low
27.31829,95.26697,307.42,0.41,0.37,2026-07-01,1940,SNPP,SNPP,n,2.0NRT,284.0,2.32,N,POINT (95.26697 27.31829),284.0,23.420000000000016,Other Thermal Anomaly,27.32,95.27,11,1,1.199964782928397,1,1,Other Thermal Anomaly,Very High
27.37665,95.33488,319.36,0.41,0.37,2026-07-01,1940,SNPP,SNPP,n,2.0NRT,290.34,1.57,N,POINT (95.33488 27.37665),290.34,29.02000000000004,Other Thermal Anomaly,27.38,95.33,9,1,0.9439058989071284,1,1,Other Thermal Anomaly,Very High
27.38007,95.33563,312.24,0.41,0.37,2026-07-01,1940,SNPP,SNPP,n,2.0NRT,290.3,1.57,N,POINT (95.33563 27.38007),290.3,21.939999999999998,Other Thermal Anomaly,27.38,95.34,10,1,0.9439058989071284,1,1,Other Thermal Anomaly,Very High
27.46991,95.423,308.35,0.42,0.37,2026-07-01,1940,SNPP,SNPP,n,2.0NRT,290.28,2.47,N,POINT (95.423 27.46991),290.28,18.07000000000005,Other Thermal Anomaly,27.47,95.42,3,1,1.244154593958768,1,1,Other Thermal Anomaly,Medium
27.46035,95.47747,316.06,0.42,0.38,2026-07-01,1940,SNPP,SNPP,n,2.0NRT,288.58,2.19,N,POINT (95.47747 27.46035),288.58,27.480000000000018,Other Thermal Anomaly,27.46,95.48,7,1,1.1600209167967532,1,1,Other Thermal Anomaly,High
20.8656,84.99216,309.84,0.46,0.47,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,280.37,2.22,N,POINT (84.99216 20.8656),280.37,29.46999999999997,Other Thermal Anomaly,20.87,84.99,15,1,1.169381359556317,1,1,Other Thermal Anomaly,Very High
22.36716,87.01848,313.01,0.54,0.42,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,286.37,2.22,N,POINT (87.01848 22.36716),286.37,26.639999999999986,Other Thermal Anomaly,22.37,87.02,11,1,1.169381359556317,1,1,Other Thermal Anomaly,Very High
22.36325,87.01787,307.9,0.54,0.42,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,286.37,2.52,N,POINT (87.01787 22.36325),286.37,21.529999999999973,Other Thermal Anomaly,22.36,87.02,21,1,1.2584609896100056,1,1,Other Thermal Anomaly,Very High
20.9568,85.01066,307.76,0.46,0.47,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,282.4,4.21,N,POINT (85.01066 20.9568),282.4,25.360000000000014,Forest / Wildlife Fire,20.96,85.01,9,1,1.6505798557652755,1,1,Forest / Wildlife Fire,Very High
20.8661,84.98784,310.49,0.46,0.47,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,281.06,2.59,N,POINT (84.98784 20.8661),281.06,29.430000000000007,Other Thermal Anomaly,20.87,84.99,15,1,1.2781522025001875,1,1,Other Thermal Anomaly,Very High
22.79902,86.20578,306.4,0.41,0.45,2026-07-01,1942,SNPP,SNPP,n,2.0NRT,268.98,1.02,N,POINT (86.20578 22.79902),268.98,37.41999999999996,Other Thermal Anomaly,22.8,86.21,10,1,0.7030975114131134,1,1,Other Thermal Anomaly,Very High
9.80325,78.23318,310.13,0.45,0.63,2026-07-01,1947,SNPP,SNPP,n,2.0NRT,287.77,1.28,N,POINT (78.23318 9.80325),287.77,22.360000000000014,Agricultural Fire,9.8,78.23,2,0,0.8241754429663494,1,1,Agricultural Fire,Medium
9.72352,78.93927,312.66,0.41,0.6,2026-07-01,1947,SNPP,SNPP,n,2.0NRT,283.72,2.71,N,POINT (78.93927 9.72352),283.72,28.939999999999998,Agricultural Fire,9.72,78.94,1,0,1.3110318766193438,1,1,Agricultural Fire,Low
9.72401,78.93551,306.34,0.41,0.6,2026-07-01,1947,SNPP,SNPP,n,2.0NRT,284.6,3.08,N,POINT (78.93551 9.72401),284.6,21.739999999999952,Agricultural Fire,9.72,78.94,1,0,1.4060969884160703,1,1,Agricultural Fire,Low
27.37266,77.69199,313.91,0.35,0.56,2026-07-01,2123,SNPP,SNPP,n,2.0NRT,276.87,1.18,N,POINT (77.69199 27.37266),276.87,37.04000000000002,Agricultural Fire,27.37,77.69,2,0,0.7793248768009976,1,1,Agricultural Fire,Medium
27.37172,77.69232,318.4,0.35,0.56,2026-07-01,2123,SNPP,SNPP,n,2.0NRT,276.15,1.94,N,POINT (77.69232 27.37172),276.15,42.25,Agricultural Fire,27.37,77.69,2,0,1.0784095813505903,1,1,Agricultural Fire,Medium
26.2578,74.09605,307.44,0.45,0.47,2026-07-01,2123,SNPP,SNPP,n,2.0NRT,290.41,3.85,N,POINT (74.09605 26.2578),290.41,17.029999999999973,Forest / Wildlife Fire,26.26,74.1,8,1,1.5789787049493917,1,1,Forest / Wildlife Fire,Very High
22.92871,70.10549,304.84,0.47,0.4,2026-07-01,2125,SNPP,SNPP,n,2.0NRT,285.41,1.98,N,POINT (70.10549 22.92871),285.41,19.42999999999995,Other Thermal Anomaly,22.93,70.11,13,1,1.091923300517313,1,1,Other Thermal Anomaly,Very High
22.92694,69.82402,307.49,0.45,0.39,2026-07-01,2125,SNPP,SNPP,n,2.0NRT,289.22,0.91,N,POINT (69.82402 22.92694),289.22,18.269999999999982,Other Thermal Anomaly,22.93,69.82,7,1,0.6471032420585384,1,1,Other Thermal Anomaly,High
22.93462,69.6984,310.07,0.45,0.39,2026-07-01,2125,SNPP,SNPP,n,2.0NRT,290.46,0.93,N,POINT (69.6984 22.93462),290.46,19.610000000000014,Other Thermal Anomaly,22.93,69.7,16,1,0.6575200029167941,1,1,Other Thermal Anomaly,Very High
